id,name,city,country,iata,icao,latitude,longitude,altitude,offset,dst,timezone
6037,Suprunovka Airport,Poltava,Ukraine,PLV,UKHP,49.5685997,34.39720154,505,2,U,Europe/Kiev
6038,Aweil Airport,Aweil,Sudan,\N,HSAW,8.767000198,27.39999962,1394,3,U,Africa/Juba
6039,Wau Airport,Wau,Sudan,WUU,HSWW,7.725830078,27.97500038,1529,3,U,Africa/Juba
6040,Humera Airport,Humera,Ethiopia,HUE,HAHU,14.25,36.58300018,1930,3,U,Africa/Addis_Ababa
6041,Moyale Airport,Moyale,Kenya,OYL,HKMY,3.46972,39.101398,2790,3,U,Africa/Nairobi
6042,Zagora Airport,Zagora,Morocco,\N,GMAZ,30.32029915,-5.866670132,2631,0,U,Africa/Casablanca
6043,Yengema Airport,Yengema,Sierra Leone,WYE,GFYE,8.610469818,-11.04539967,1300,0,U,Africa/Freetown
6044,Gbangbatok Airport,Gbangbatok,Sierra Leone,GBK,GFGK,7.767000198,-12.38300037,75,0,U,Africa/Freetown
6045,Turukhansk Airport,Turukhansk,Russia,\N,UOTT,65.79720306,87.93530273,128,7,N,Asia/Krasnoyarsk
6046,Podkamennaya Tunguska Airport,Bor,Russia,\N,UNIP,61.58969879,89.9940033,213,7,N,Asia/Krasnoyarsk
6047,Fort Worth Alliance Airport,Fort Worth,United States,AFW,KAFW,32.98759842,-97.31880188,722,-6,A,America/Chicago
6048,East Troy Municipal Airport,East Troy,United States,57C,K57C,42.79719925,-88.37259674,860,-6,A,America/Chicago
6049,Kolpashevo Airport,Kolpashevo,Russia,\N,UNLL,58.32529831,82.93250275,243,7,N,Asia/Krasnoyarsk
6050,Ali Al Salem Air Base,Kuwait,Kuwait,\N,OKAS,29.34670067,47.52080154,472,3,A,Asia/Kuwait
6051,Renmark Airport,Renmark,Australia,RMK,YREN,-34.19639969,140.673996,115,9.5,O,Australia/Adelaide
6052,Leigh Creek Airport,Leigh Creek,Australia,LGH,YLEC,-30.59830093,138.4259949,856,9.5,O,Australia/Adelaide
6053,Warburton Airport,Warburton Community,Australia,\N,YWBR,-26.12829971,126.5830002,1500,8,O,Australia/Perth
6054,Cunderdin Airport,Cunderdin,Australia,\N,YCUN,-31.62220001,117.2170029,705,8,O,Australia/Perth
6055,Rottnest Island Airport,Rottnest Island,Australia,RTS,YRTI,-32.00669861,115.5400009,12,8,O,Australia/Perth
6056,Forrest Airport,Forrest,Australia,\N,YFRT,-30.83810043,128.1150055,511,8,O,Australia/Perth
6057,Ballarat Airport,Ballarat,Australia,\N,YBLT,-37.51169968,143.7910004,1433,10,O,Australia/Hobart
6058,Keewaywin Airport,Keewaywin,Canada,KEW,CPV8,52.99110031,-92.83640289,988,-6,A,America/Winnipeg
6059,Marathon Airport,Marathon,Canada,YSP,CYSP,48.75529861,-86.3443985,1035,-5,A,America/Toronto
6060,Hearst Ren? Fontaine Municipal Airport,Hearst,Canada,YHF,CYHF,49.71419907,-83.68609619,827,-5,A,America/Toronto
6061,Hornepayne Municipal Airport,Hornepayne,Canada,YHN,CYHN,49.19309998,-84.7589035,1099,-5,A,America/Toronto
6062,Kirkland Lake Airport,Kirkland Lake,Canada,YKX,CYKX,48.21030045,-79.98139954,1157,-5,A,America/Toronto
6063,Manitouwadge Airport,Manitouwadge,Canada,YMG,CYMG,49.08390045,-85.86060333,1198,-5,A,America/Toronto
6064,Wawa Airport,Wawa,Canada,YXZ,CYXZ,47.96670151,-84.78669739,942,-5,A,America/Toronto
6065,Manitoulin East Municipal Airport,Manitowaning,Canada,YEM,CYEM,45.84280014,-81.85810089,869,-5,A,America/Toronto
6066,Slate Falls Airport,Slate Falls,Canada,\N,CKD9,51.13000107,-91.66560364,1355,-6,A,America/Winnipeg
6067,Collingwood Airport,Collingwood,Canada,\N,CNY3,44.44919968,-80.15830231,730,-5,A,America/Toronto
6068,Brantford Municipal Airport,Brantford,Canada,YFD,CYFD,43.13140106,-80.34249878,815,-5,A,America/Toronto
6069,Lawrence Municipal Airport,Lawrence,United States,LWC,KLWC,39.01119995,-95.21659851,833,-6,A,America/Chicago
6070,Wellington Municipal Airport,Wellington,United States,EGT,KEGT,37.32360077,-97.38829803,1277,-6,A,America/Chicago
